date,title,tags,description,author
Wednesday 22 July,12 years of Pylint  (or How I learned to stop worrying about bugs),"static-analysis,lint,typehinting,ast","Given the dynamic nature of Python, some bugs tend to creep in our codebases. Innocents NameErrors or hard-to-find bugs with variables used in a closure, but defined in a loop, they all stand no chance in front of Pylint (http://pylint.org/).
In this talk, I’ll present one of the oldest static analysis tools for Python, with emphasis on what it can do to understand your Python code.  Pylint is both a style checker, enforcing PEP 8 rules, as well as a code checker in the vein of pyflakes and the likes, but its true power isn’t always obvious to the eye of beholder.  It can detect simple bugs such as unused variables and imports, but it can also detect more complicated cases such as invalid arguments passed to functions, it understands the method resolution order of your classes and what special methods aren’t implemented correctly. Starting from abstract syntax trees, we’ll go through its inference engine and we’ll see how Pylint understands the logical flow of your program and what sort of type hinting techniques are used to improve its inference, including PEP 484 type hints. As a bonus, I’ll show how it can be used to help you port your long-forgotten library to Python 3, using its new –py3k mode.,Link to presentation: http://pcmanticore.github.io/pylint-talks/#slide:1",Claudiu Popa
Friday 24 July,"""It's about time to take your medication!"" or how to write a friendly reminder bot ;-)","oauth2,network,xmpp,bot,automation,hangouts","The author  shows how to use the ,SleekXMPP, library in order to write a small chatbot that connects to Google Hangouts and reminds you or someone else to take medication for instance.  The secure and recommended OAuth2  protocol is used to authorize the bot application in the ,Google Developers Console,  in order to access the Google+ Hangouts API. The author will elaborate then on how to use an event-driven library to write a bot that sends scheduled messages, waits for a proper reply and repeats the question if need be. Thereby, a primer on event-driven architectures will be given.",Florian Wilhelm
Wednesday 22 July,"Keynote: Towards a more effective, decentralized web",python,"Many would like to see more decentralization but what does it mean, really?  In this talk, I’ll discuss the recent rise of immutable state concepts in languages and network protocols.  And how the advent of hash-based data structures and replication strategies are shaking the client/server web service paradigm which rests on managing mutable state through http.  By contrast, building on git, bittorrent and other content addressed data structures provides for a more secure, efficient decentralized communication topology.   There are projects, thoughts and talk to create new web standards to bring such technologies to mass deployment and fuel a new wave of decentralization.  What can Python bring to the table?   ",Holger Krekel
Friday 24 July,"Keynote: So, I have all these Docker containers, now what?","python,docker,cloud","You’ve solved the issue of process-level reproducibility by packaging up
your apps and execution environments into a number of Docker containers.
But once you have a lot of containers running, you’ll probably need to
coordinate them across a cluster of machines while keeping them healthy and
making sure they can find each other. Trying to do this imperatively can
quickly turn into an unmanageable mess! Wouldn’t it be helpful if you could
declare to your cluster what you want it to do, and then have the cluster
assign the resources to get it done and to recover from failures and scale
on demand?
>
Kubernetes (http://kubernetes.io) is an open source, cross platform cluster
management and container orchestration platform that simplifies the complex
tasks of deploying and managing your applications in Docker containers. You
declare a desired state, and Kubernetes does all the work needed to create
and maintain it. In this talk, we’ll look at the basics of Kubernetes and
at how to map common applications to these concepts. This will include a
hands-on demonstration and visualization of the steps involved in getting
an application up and running on Kubernetes.",Mandy Waite
Tuesday 21 July,Keynote: Python now and in the future,python,"This is ,your, keynote! I will have some prepared remarks on the state of the Python community and Python’s future directions, but first and foremost this will be an interactive Q&A session.",Guido van Rossum
Tuesday 21 July,Recruiting sponsors presentation,recruiting,Recruiting sponsors presentation.,To be announced
Monday 20 July,"Keynote: It's Dangerous To Go Alone, Take This: The Power of a Community","python,diversity,community","In this keynote, Ola and Ola will take you on a fantastic journey to the magical world of little Liz, who is totally enchanted by technology. The story of Liz will show that with a little bit of magic, curiosity, courage and hard work, you can defeat all the obstacles standing in your way. You’ll discover with her that making big and scary things is easier when you’re not doing them alone. Because sometimes, one magical spell, the helpful hand of a friend or this shiny sparkle is all it takes to make a dent in one’s universe.",Ola Sitarska
Wednesday 22 July,EuroPython 2016: Help us build the next edition!,"conference,EuroPython,eps","We need help with organizing and running EuroPython 2016.,In this session, we will explain how the EuroPython workgroup model works and where you could help.",Fabio Pliger
Wednesday 22 July,EPS General Assembly,"EuroPython,assembly,eps,GA","The EuroPython General Assembly.,This is where we give our reports and the EPS members can vote in a new EPS board.",Fabio Pliger
"Tuesday 21 July,Tuesday 21 July,Tuesday 21 July,Tuesday 21 July",Plone help desk,"web,CMS,Plone",Plone help desk,Paul Roeland
"Thursday 23 July,Tuesday 21 July,Thursday 23 July,Tuesday 21 July",Ansible helpdesk,"Operations,system-administration,CLI,yaml,ansible,linux,open-source","For this helpdesk session, I will be here to help people on ansible, be it for beginner usage or more advanced use cases ( or even bug reporting/fixing ).,Prerequisite are simply to have a computer ( if needed by the question ) and familliarity with command line on a unix system ( but the more, the better ).",Michael Scherer
"Wednesday 22 July,Wednesday 22 July,Wednesday 22 July,Wednesday 22 July",The doc(tor)s are in! (Documentation Helpdesk),"Best Practice,fun,sphinxdocumentation,Sphinx,agile,documentation,community,django,i18n,api,autodoc,communication,internationalization,translation,education,Plone","Bring us your broken README files, your cryptic API references, and your disheveled Wiki projects! Or, just come and chat with us about life, the universe, and everything docs. ,Our doc(tor)s are happy to assist with all things docs: from proofreading and restructuring content, optimizing contribution workflows, to automating API docs and L10N, implementing scalable and testable markup languages, and more! ,The clinic will be staffed by:,Mikey Ariel, , senior technical writer at Red Hat, community lead at Write the Docs EU, documentation evangelist, agile coach, has coffee - will travel.,Maciej Szlosarczyk,, senior technical writer at Symantec, Linux user in rehab, experiments with Django, Swagger, and Ember.js, can talk craft beer for hours.,Paul Roeland, , open source and non-profit activist, fluent in Plone and conversational in Sphinx and Robot-screenshots, mixes a mean Martini.",Mikey Ariel
"Tuesday 21 July,Thursday 23 July,Tuesday 21 July,Thursday 23 July",Scrapy Helpdesk,"python,scraping,scrapy","Scrapy is an open source and collaborative framework for extracting the data you need from websites. In a fast, simple, yet extensible way.,This helpdesk is run by members of Scrapinghub, where Scrapy was built and designed.",Juan Riaza
"Friday 24 July,Friday 24 July",Python decorators in detail,"scopes,training,python,closures,namespaces,decorators","Do you know what happens every time you use the ,@, symbol in Python? Do you know how to implement a decorator to be customisable at ,decoration time, or to internally store a state? ,After attending this training you will be able to answer ,yes, to all the previous questions!,The content of the session can be split in 3 main blocks:,Requirements:,The ,code and exercises, of the training can be downloaded from here: ,https://github.com/pablito56/decorators/,PS: I also delivered a talk which covers in a more graphical way the first part of the training: ,https://ep2015.europython.eu/conference/talks/decorators-demystified",Pablo Enfedaque
"Tuesday 21 July,Tuesday 21 July",Numpy arrays: the weapons of a data scientist,"analytics,scipy,numpy,data-science","It is very hard to be a scientist without knowing how to write code, 
and nowadays ,Python, is probably the programming language of 
choice in many research fields.
This is mainly because the Python ecosystem includes a lot of tools and libraries 
for many research tasks:  ,pandas, for ,data analysis, , 
,networkx, for ,social network analysis,,  ,nltk, for ,natural language processing,,
,scikit-learn, for ,machine learning,, and so on.,Most of these libraries relies (or are built on top of) ,numpy,.
Therefore, ,numpy, is a crucial component of the common Python
stack used for numerical analysis and data science.,On the one hand, NumPy code tends to be much cleaner (and faster) than 
“straight” Python code that tries to accomplish the same task. 
Moreover, the underlying algorithms have 
been designed with high performance in mind.,This training will be organised in two parts: the first part is 
intended to provide most of the essential concepts 
needed to become confident with NumPy data structures and functions.,In the second part, some examples of data analysis libraries and code
will be presented, where NumPy takes a central role.,Here is a list of software used to develop and test the code examples presented
during the training:,The training is meant to be mostly introductory, thus it is perfectly suited
for ,beginners,. However, a good proficiency in Python programming is (at least)
required.",Valerio Maggio
"Friday 24 July,Friday 24 July","TDD for web development, from scratch","Testing,selenium,tdd,unit-testing,django,python3","The aim is to cover the basics of setting up a simple Django site, but using full, rigorous TDD at every step along the way.,The tutorial is based on the first few chapters of my book, which is available (for free!) online for you to follow up with after the session, so that you can embed what you’ve learned. ,www.obeythetestinggoat.com,We’ll learn:,We’ll talk about what to test, what not to test, what the point of all this testing is anyway, you’ll get a real hands-on feeling for how it works, and I promise to make it all at least moderately entertaining!,And it’s all in Python 3 :),Please come prepared!,  you’ll need:,You’ll find full instructions ,here, – do email me if you have any problems, I’m happy to help. obeythetestinggoat@gmail.com",Harry Percival
Tuesday 21 July,SRE Classroom,"google,class,cloud","Workshop time: 2:00pm - 7:00pm,This is a half-day version of the SRE Classroom event that has been run successfully at Google offices and conferences around the world. We expect this event to appeal to senior and experienced engineers.,The workshop problem will be a real-world large-scale engineering problem that requires some distributed-systems knowhow to tackle. Attendees will work in groups with Googlers on the problem, trying to come up with:,Attendees will be provided with a workbook that guides them through tackling a problem like this, with some worked examples, so junior attendees should be able to make progress and learn too. ,Sign-up here (seats are limited.)",Sidnei da Silva
"Friday 24 July,Friday 24 July",Scrapy Workshop,"python,scraping,scrapy,open-source","If you want to get data from the web, and there are no APIs available, then you need to use web scraping! Scrapy is the most effective and popular choice for web scraping and is used in many areas such as data science, journalism, business intelligence, web development, etc.,This workshop will provide an overview of Scrapy, starting from the fundamentals and working through each new topic with hands-on examples.,Participants will come away with a good understanding of Scrapy, the principles behind its design, and how to apply the best practices encouraged by Scrapy to any scraping task.,Goals:",Juan Riaza
"Tuesday 21 July,Tuesday 21 July","""Python para Iniciantes (ESPAÑOL)""","iniciante,programación,divertido","Tutorial interactivo, en ,español,, y muy divertido para la gente, con los conceptos básicos de programación en alguna otra lenguaje, y que no saben nada de Python. Vamos a hackear fotos de amigos de Facebook y también hackear módulos básicos y clases para obtener la “respuesta a la última pregunta de la vida, el universo, y todo”. Este tutorial asume que usted tiene algunos pocos conceptos básicos (entrada de dados, salida de dados, operadores booleanos, control de flujo, funciones, repeticiones). Vamos a cubrir, en Python 3.x: 1. El modo interactivo de Python 2. Variaciones en el juego de adivinar un número aleatório 3. Hackear módulos básicos y clases para obtener la “respuesta a la última pregunta de la vida, el universo, y todo”. 4. Hacking de las fotos de los amigos de Facebook sin OAuth 5. Chuck Norris Nerd chistes y partidos de la Copa Mundial en seis líneas de código. 6. Prueba  selectiva del Hackaton Facebook en una línea de código. Nota importante: No soy un gurú de Python, sólo un maestro apasionado! Material para la el tutorial: http://bit.ly/ep15-es bajar antes!",Fernando Masanori Ashikaga
"Monday 20 July,Monday 20 July","pytest - simple,  rapid and fun testing with Python","test,pytest,automation","The py.test tool presents a rapid and simple way to write tests for your Python code.  This training gives a quick introduction with exercises into some distinguishing features. We’ll do exercises where we get existing non-pytest test suites to run with pytest and discuss migration strategies.  We’ll finish with discussing topics and questions of participants related to their own test suites and usages.,This is the planned outline:,(30 minutes) pytest feature walkthrough: automatic test discovery, assert
statement, modular parametrizable fixtures, 150 plugins,(60 minutes) pytest fixture mechanism: dependency injection, declaring
and using function/module/session scoped fixtures, using fixtures
from fixture functions, parametrizing fixtures.  Exercises.,(30 minutes): running nose/unittest/trial/Django suites with pytest.
Discussing advantages and limitations.  Exercise with a select
existing real-life open source project.,(30 minutes): Strategies for a) migrating to pytest  b) using
“autouse” fixtures in conjunction with XUnit-based
setup/tearodwn methods.  Exercise.,(30 minutes): open space for questions and interactively solving
pytest/unittest integration problems on real-life problems
as time permits.",Florian Bruhin
Thursday 23 July,Functional Programming with Transducers in Python,"python,fun,Functional Programming,functional","Transducers – a portmanteau of ‘transform reducers’ – are a new functional programming concept, which were first introduced into the Clojure programming language.  Although transducers are actually pretty straightforward in retrospect, wrapping your brain around them can be challenging. ,Transducers allow us to fuse multiple data processing operations together so they can be applied in a single pass over a data series – similar to how Python generator functions allow us to process iterable series.  However, unlike generator functions they are completely decoupled from the data series abstraction and can be used on eager sequences, lazy iterables, coroutine-based push events and events such as those modelled by Reactive Extensions for Python (RxPy). ,In this workshop, we introduce transducers by implementing them from scratch in Python 3. We’ll start with the familiar staples of functional programming, map(), filter() and reduce(), and derive transducers from first principles. We’ll work towards a set of general tools which works with eager collections, lazy ‘pull’ sequences, and coroutine ‘push’ event streams and RxPy. Along the way we’ll cover stateful transducers and transducer composition, demonstrating that transducers are both more general, and more fundamental, than the functional programming tools baked into Python and many other languages.,There are no prerequisites for this workshop as we stick to core Python 3 language features although an enthusiasm for a functional programming style will be sure to help attendees get the most out of this session.",Austin Bingham
"Monday 20 July,Monday 20 July",Modern optimization methods in Python,"analytics,optimization,data-science,predictions,framework","Highly-constrained, large-dimensional, and non-linear optimizations are found at the root of most of today’s forefront problems in statistics, quantitative finance, risk, operations research, materials design, and other predictive sciences. Tools for optimization, however, have not changed much in the past 40 years – until very recently. The abundance of parallel computing resources has stimulated a shift away from using reduced models to solve statistical and predictive problems, and toward more direct methods for solving high-dimensional nonlinear optimization problems.,This tutorial, will introduce modern tools for solving optimization problems – beginning with traditional methods, and extending to solving high-dimensional non-convex optimization problems with highly nonlinear constraints. We will start by introducing the cost function, and it’s use in local and global optimization. We will then address how to monitor and diagnose your optimization convergence and results, tune your optimizer, and utilize compound termination conditions. This tutorial will discuss building and applying box constraints, penalty functions, and symbolic constraints. We will then demonstrate methods to efficiently reduce search space through the use of robust optimization constraints.  Real-world inverse problems can be expensive, thus we will show how to enable your optimization to seamlessly leverage parallel computing. Large-scale optimizations also can greatly benefit from efficient solver restarts and the saving of state. This tutorial will cover using asynchronous computing for results caching and archiving, dynamic real-time optimization, and dimensional reduction. Next we will discuss new optimization methods that leverage parallel computing to perform blazingly-fast global optimizations and n-dimensional global searches. Finally, we will close with applications of global optimization in statistics and quantitative finance.,The audience need not be an expert in optimization, but should have interest in solving hard real-world optimization problems.  We will introduce the ,mystic, optimization framework – then begin with a walk through some introductory optimizations, learning how to build confidence in understanding your results. By the end of the tutorial, participants will have working knowledge of how to use modern constrained optimization tools, how to enable their solvers to leverage high-performance parallel computing, and how to utilize legacy data and surrogate models in statistical and predictive risk modeling.,PREREQUISITES,: This tutorial will assume attendees have basic knowledge of ,python, and ,numpy,, and is intended for scientific developers who are interested in utilizing optimization to solve real-world problems in statistics, quantitative finance, and predictive sciences. The tutorial will require ,python,, ,numpy,, and ,mystic, to be installed, and optionally installs of ,matplotlib,, ,scipy,, ,pathos,, and ,klepto,. All packages can be installed under ,Anaconda, or ,Canopy,, or with ,setuptools, or ,pip,.",Michael McKerns
"Tuesday 21 July,Tuesday 21 July",Mastering asyncio applications,"HTTP,network,aiohttp,aiopg,aioredis,asyncio","asyncio, is relative new library for asynchronous network programming.,On training session newcomers will learn how to:,A lot of tips and tricks will be explained. Development for asyncio is really easy (much easier than ,Tornado, and ,Twisted, coding) but requires to change you mind a bit.",Andrew Svetlov
"Tuesday 21 July,Tuesday 21 July",Manos a la obra con OpenStack: La guía paso a paso para comenzar a contribuir a OpenStack,"python,OpenStack,open-source,cloud,linux","OpenStack, es un conjunto de herramientas de software que permiten la construcción y mantenimiento de plataformas de ,cloud computing, para nubes públicas y privadas. Permite a sus usuarios desplegar máquinas virtuales y otras instancias que manejan diferentes tareas para la administración de un entorno de ,cloud computing, ,on the fly,. Considerando la complejidad de la arquitectura del código que hace de esto una realidad, establecer el entorno de desarrollo y comenzar a contribuir puede ser una tarea agobiante.,Pero empezar a ser un contribuyente no debería ser un proceso difícil si comienzas con el pie derecho. Hay algunos detalles que, si los pudieras conocer de antemano, harían que dar tus primeros pasos no sea una tarea tan complicada.,En esta presentación daremos una explicación breve de cuáles son las herramientas usadas por la comunidad de OpenStack y cómo debes configurarlas para empezar a contribuir. Además cubriremos cómo el proceso de desarrollo funciona, incluyendo cómo encontrar y arreglar un ,bug,, cómo hacer una nueva propuesta de desarrollo, cómo probar tus cambios antes de enviar un parche y cómo funciona el proceso de revisión.,Haremos todo esto usando un ,script, que automatiza el despliege del entorno de desarrollo llamado ,DevStack,. Mientras que el ,script, es ejecutado y descarga/configura todas las dependencias, explicaremos cada uno de los pasos para empezar a contribuir. Finalmente, con el entorno de desarrollo listo, repasaremos las listas de bugs y empezaremos a analizar el código.,Para el final del taller, tendrás todos las herramientas y conocimientos necesarios para poder comenzar a contribuir a un proyecto de OpenStack.,Requerimientos mínimos: Procesador de 1 gigahertz (GHz) o más 32-bit (x86) o 64-bit (x64), 4GB RAM, 10GB HD
Requerimientos recomendados: Procesador de 1 gigahertz (GHz) o más 32-bit (x86) o 64-bit (x64), 8GB RAM, 20GB HD,También aconsejamos que los participantes tengan una herramienta de virtualización preinstalada y, si es posible, que inicien una instancia con Fedora 20/21.",Victoria Martinez de la Cruz
"Saturday 25 July,Saturday 25 July,Wednesday 22 July",Lego for Scrum,"fun,agile,management,scrum,lego","Do you like playing lego? Do you want to know how Scrum works? Why not to combine having fun & learning? ,During my workshops you will get familiar with Scrum ceremonies by building a Lego city. In your team you will have a Scrum Master who should help you with a demanding Product Owner who will be me. ,Can you manage my requirements? Can you finish the sprint? Can you build the city I’m dreaming about? Try yourself and get Scrum experience!,LIMITED NUMBER OF PEOPLE: 21",Anna Kierczyńska
"Thursday 23 July,Thursday 23 July",Introduction to Data Analysis,"oauth2,data-science,Database,scraping,Coding,Beginners,analytics,api,e-gov,data,pandas","Become a data wrangler with Python! This course will introduce you to the core concepts of data analysis with Python. We’ll cover libraries that allow you to easily clean and set up your initial dataset, importing data from all different file types and standards. We’ll introduce some basic libraries to help with statistics and analysis and then cover how to document and explore your findings. ,It’s assumed you have a working understanding of Python and it’s data types and structures, and that you’ve used and understand Python for basic scripting. It’s also assumed you haven’t done much in terms of data analysis, and you’d like to learn more. If this is you, welcome! ",Katharine Jarmul
"Monday 20 July,Monday 20 July",Intro to Web Development with Docker,"development-process,web,docker,Development","Learn how to use docker-compose and docker to create a development environment that you can use to mimic your production environment. ,Learn how to:,Class will be mostly informational. BUT you are encouraged to play along. ,Hardware requirements: ,Software requirements:,If you plan on playing along, please make sure that you have all these installed already. ",Nick Lang
"Wednesday 22 July,Wednesday 22 July","Full Stack + DevOps using Pyramid, Buildout  and Docker","Pyramid,Buildout,fabric,redis,DevOps,SQLAlchemy,elasticsearch,Virtualization,Enterprise,docker,ansible","This training is about how to keep all your software stack under control using mainly Python technologies.,We will run some full stack deployment examples using things like Pyramid, Buildout, Ansible and Docker. ,We will try to apply the Zen of Python into our DevOps infrastructure in order to make happy all stakeholders in your company/organization.,The session is divided in two sections, the first one we will cover full stack development strategies, and we will discuss subjects like design patterns, code organization and web servers, among others. We will compare how other “de facto” or “enterprise” technologies in the industry are doing. ,In the second part we will see how to prepare your application and power your deployments using Docker containers (www.docker.com) and  Buildout (www.buildout.org).,Each part of the training session is accompanied by runnable source code and documentation.,Slides: ,https://slides.com/aaguirre/deck/,Source Code: ,https://github.com/aaguirre/EuroPython2015Training,Docker container:  aaguirre/ep2015",Alvaro Aguirre
"Thursday 23 July,Thursday 23 July",Distributed Programming With Python,"amqp,computing,distributed-systems,redis,rabbitmq,celery,concurrency,performance,cloud","This tutorial explores some real-world  solutions to make your Python code run on different processes, possibly on different computers. ,Tools like Pyro, Celery, Python-RQ  will be discussed.  Ways to run your Python code on a supercomputer/cluster using a batch job scheduler and packages for local parallelism such as multiprocessing and concurrent.futures will be  touched upon as well. ,The emphasis is on practical examples  and lessons learned. The assumption is that the attendee is familiar with Python and basic OOP concepts.",Francesco Pierfederici
"Wednesday 22 July,Wednesday 22 July",Building Async Microservices,"flask,mongodb,api,AngularJS,Microservices","Description:, Over the course of the 2.5 hours of this workshop you will learn how to leverage both Python and MongoDB to build highly scalable, asynchronous applications based on microservices architecture. We will be building from scratch several different “exotic” services, using a variety of datasets, that together we can mashup into a consolidated application using our own laptops. ,We will start by introducing several  technologies that we will be using (e.g. Python, Flask, MongoDB, AngularJS) and take a ten-thousand foot  overview of micro services architecture.
In the second half of the workshop, we will break into teams that will each take charge in implementing a microservice that will comprise our final application. ,This a fully hands-on workshop.,Learning objectives:, ,Benefits of microservice architectures,MongoDB schema design ,MongoDB query optimization and profiling ,Basic understanding of AngularJS ,Flask as REST API platform,Target Audience:,
This workshop is recommended to software developers eager to understand more about MongoDB and how to build async calls. Coding skills and basic understanding of Python is required. Prior experience with AngularJS and Flask is welcomed.,Technical Requirement:,
The attendee should bring their own laptop with MongoDB and Python (>2.7) installed. One should have administration grants over their system because we will need to expose ports and other communications to the network. The datasets and project instructions will be provided on site.",Norberto Leite
